# hyperhyper-eval: 1
# title: SuperSim (relatedness), Swedish
# source-url: https://spraakbanken.gu.se/resurser/data/supersim-superlim.zip
# source-sha256: 319e731c2d0801a7bc0abed1ef029f64b919b34614ec6e5f68a787888ea702fd
# license: CC-BY-4.0
# license-evidence: CC BY 4.0 -- stated in readme.txt *inside* supersim-superlim.zip: "Data for 'SuperSim: a test set for word similarity and relatedness in Swedish', v1; Simon Hengchen, Nina Tahmasebi; University of Gothenburg; DOI 10.5281/zenodo.4660084; CC BY 4.0 to Hengchen/Tahmasebi"
# citation: Hengchen, Simon and Nina Tahmasebi (2021). SuperSim: a test set for word similarity and relatedness in Swedish. Proceedings of NoDaLiDa 2021, Reykjavik.
#
# Imported by tools/import_eval_data/import_ws.py (ADR 0001, phase P3).
# Transformation: selected columns 'Word 1', 'Word 2' and 'Average' from supersim_superlim/data/gold_relatedness.tsv; the five per-annotator columns are not carried over (the package scores against the aggregate)
# No score was recomputed, rescaled or averaged; the aggregate column is
# taken exactly as upstream published it.
#
# Source rows: 1360; bundled rows: 1280.
#   dropped-multitoken: 63
#   dropped-self_pair: 1
#   dropped-duplicate: 16
word1	word2	score
göra	hända	4.8
bok	tema	5.2
sätta	hänga	7.0
ordbok	definition	9.4
förorening	atmosfär	8.2
hotell	reservation	7.0
kvinna	man	10.0
tarm	nerv	4.2
ben	knä	9.2
vinter	säsong	7.8
skick	pojke	0.6
trevlig	grym	2.8
japanska	amerikansk	5.0
vuxen	bebis	8.8
behållare	mus	0.2
mus	förvaltning	0.2
kvinna	fru	9.6
syndare	helgon	9.0
bar	bur	0.2
middag	frukost	8.8
konstig	udda	9.4
vin	brandy	7.2
kredit	information	0.2
kvällsmat	måltid	9.4
pengar	rikedom	9.8
acceptera	rekommendera	1.6
motta	ge	6.6
arbetstagare	mekaniker	5.2
skenbar	uppenbar	7.0
bacon	böna	4.0
härlig	underbar	9.8
minister	fest	0.2
hus	lägenhet	8.6
rum	säng	7.0
död	katastrof	7.4
skarp	tråkig	0.4
asyl	dårhus	0.2
glädje	stolthet	7.4
solnedgång	kväll	9.6
ben	nacke	5.6
rikedom	fattigdom	9.6
däck	mus	0.2
fokus	liv	0.8
otålig	ängslig	7.6
ärm	ven	0.6
frukost	kvällsmat	9.2
uthållighet	styrka	9.0
kläder	jacka	9.4
fantastisk	galen	2.8
fantastisk	arg	2.0
korkad	dum	9.8
OPEC	land	6.4
skvaller	nyheter	7.4
utrustning	tillverkare	3.4
botten	sida	7.8
gitarr	trumma	7.2
förkunna	meddela	8.2
försöka	tänka	1.6
plan	bil	2.2
opera	industri	0.4
kött	bröd	5.6
kille	trollkarl	2.2
solnedgång	soluppgång	10.0
imitera	porträttera	8.6
gräl	kritik	4.0
fotboll	tennis	6.4
lycka	tur	7.2
förstöra	göra	4.8
ord	likhet	1.8
ärm	handled	5.4
dörr	port	9.6
uppställning	uttag	0.2
nacke	ryggrad	8.2
avsluta	besluta	2.6
enkel	lätt	8.2
läkemedel	misshandel	0.8
onsdag	nyheter	0.6
dålig	bra	9.6
partiskhet	åsikt	6.4
meny	ordning	0.4
dum	tät	0.2
band	orkester	9.4
århundrade	år	9.8
kräva	undersöka	0.8
grov	kylig	0.2
kopp	objekt	4.4
hand	fot	7.6
ilska	humör	9.4
skådespelerska	skådespelare	10.0
fred	plan	2.2
intelligens	logik	8.6
vägg	tegel	7.0
säng	filt	6.6
muskel	ben	6.8
kompis	följeslagare	6.6
medföra	skicka	2.6
prejudikat	föregångare	5.4
anarki	kaos	9.0
kön	jämlikhet	7.8
skådespelare	sångare	6.4
energi	sekreterare	0.2
självsäker	säker	8.0
metall	aluminium	10.0
psykologi	Freud	9.6
tiger	däggdjur	9.8
märkbar	uppenbar	9.0
pistol	kniv	6.8
strand	hav	10.0
pengar	huvudstad	2.4
bred	smal	9.6
årtionde	århundrade	9.6
samarbeta	delta	6.0
huvud	nagel	4.0
böna	kaffe	8.8
pistol	päls	0.2
golv	däck	4.0
blod	kött	7.4
augusti	månad	10.0
dugga	regn	9.6
sjuksköterska	forskare	3.2
ärlig	skyldig	1.6
situation	skick	2.0
pengar	uttag	8.6
bolag	företag	9.4
mål	sökande	3.2
cell	telefon	0.2
aritmetisk	rytm	1.2
måltid	middag	10.0
meter	gård	0.8
doktor	professor	9.2
bisarr	konstig	9.2
sjukdom	infektion	10.0
väder	prognos	9.8
fara	hot	9.4
kommunikation	tv	6.2
låna	be	3.0
mästare	vinnare	9.2
trevlig	generös	8.2
dålig	förfärlig	9.6
kurva	vinkel	7.4
strand	kust	9.6
sommar	natur	3.8
president	borgmästare	6.2
start	match	4.8
snabb	hastig	9.6
ilska	raseri	9.2
ärm	axel	4.8
stil	mode	9.6
stil	sätt	8.8
kapten	sjöman	9.6
gård	tum	0.8
leverera	bära	5.8
gata	barn	1.0
fartyg	ven	0.2
tiger	kattdjur	10.0
mus	katt	7.8
styrka	förmåga	8.8
moln	storm	6.8
acceptera	avvisa	8.0
planet	galax	9.6
öl	champagne	6.8
innertak	katedral	2.6
whisky	champagne	7.0
kopp	kaffe	9.8
volontär-	motto	0.2
bra	förfärlig	7.0
anlända	lämna	6.6
dag	morgon	9.2
bil	vagn	5.4
barriär	gräns	9.6
jurist	bevis	7.8
acceptera	förlåta	6.2
vän	kompis	9.8
bil	fabrik	4.2
nagel	tumme	8.6
bil	horn	0.8
knulla	sex	10.0
organisera	bli	0.4
slug	konstig	2.0
tala	höra	8.2
vinnare	mål	6.4
dålig	fruktansvärd	9.6
telefon	utrustning	2.2
högskola	klass	7.4
kopp	mat	3.8
molekyl	atom	10.0
vinst	varning	0.2
båt	däck	5.8
företag	firma	10.0
åberopa	be	2.0
kött	bacon	9.8
bröd	mjöl	9.4
ge	veta	0.2
blomma	uthållighet	0.2
skiva	siffra	0.2
spel	serier	2.0
veta	tro	5.2
höft	läpp	3.2
befolkning	utveckling	4.0
bubbla	såplödder	8.0
Arafat	Jackson	3.0
dag	sommar	3.0
hjältinna	hjälte	10.0
undersökning	ansträngning	0.8
lista	närhet	0.2
ord	ledtråd	4.2
tallrik	skål	8.6
chans	trovärdighet	0.8
ackord	leende	0.2
känsla	passion	9.6
farbror	moster	8.8
acceptera	leverera	0.6
häst	oxe	4.8
vånda	sorg	8.8
FBI	undersökning	6.8
ärm	knä	0.8
lyssna	lyda	6.6
upptäckt	utrymme	0.8
barn	pojke	9.4
man	guvernör	4.0
äpple	citron-	5.4
kapitel	svans	0.2
psykologi	disciplin	5.6
område	region	9.8
pistol	gryning	0.2
skapa	bygga	7.2
fågel	kran	0.2
konsert	virtuos	6.6
pappa	mor	9.6
låtsas	tänka	2.0
djärv	stolt	4.0
smör	potatis	5.0
dator	nyheter	1.6
tiger	organism	4.4
smart	korkad	9.6
funktionshinder	död	1.2
bok	bibliotek	10.0
undersöka	kontrollera	7.4
öl	alkohol	10.0
hjälpare	hembiträde	7.2
taxi	buss	8.4
media	handel	0.4
mink	päls	9.4
arbetstagare	kamera	0.2
nyheter	rapportera	9.0
bad	lura	0.2
vrist	fönster	0.2
aning	bild	0.4
spel	team	4.2
fras	ord	9.0
stråle	solsken	9.4
ris	pojke	0.6
uppnå	försöka	4.4
ledare	chef	9.8
äpple	godis	3.0
tro	begrepp	0.4
aning	schema	0.2
svår	enkel	10.0
kommunicera	be	4.6
man	krigare	5.2
baseboll	säsong	6.0
dörr	korridor	6.4
bror	son	7.8
spjälsäng	vagga	9.4
dum	smart	10.0
andas	strypa	8.0
president	medalj	2.4
lycklig	glad	9.4
hård	grym	7.4
ge	låna	6.4
liv	termin	0.2
gång	hall	7.4
maskin	motor	9.2
pistol	lura	0.2
besluta	välja	9.4
uppnå	lyckas	9.2
psykologi	rädsla	5.4
hus	matta	3.4
ge	tillåta	2.0
media	radio	10.0
rum	cell	7.0
tandläkare	överste	0.2
pengar	kontanter	9.8
band	parad	2.8
låt	berättelse	3.8
ordna	organisera	9.4
fiende	motståndare	9.4
lång	smal	7.6
torn	kapell	3.8
underbar	fantastisk	9.8
anta	förutspå	4.2
tillkännagivande	varning	3.0
torn	klocka	2.2
måne	planet	8.6
doktor	ortodontist	7.0
tiger	zoo	7.0
psykologi	depression	8.6
göra	bli	2.2
klaga	bråka	5.2
bok	papper	8.0
rör	cigarr	0.4
dålig	skyldig	3.2
överflöd	massor	9.0
skapare	tillverkare	9.0
attityd	förtroende	1.8
sprit	band	0.6
torp	stuga	9.0
formell	rätt	3.0
fot	huvud	4.8
bil	motorväg	10.0
gå	tillåta	0.2
doktor	humör	1.4
säng	sjukhus	5.2
nagel	hand	7.6
vägg	dekoration	4.0
kille	bror	8.2
fågel	tupp	8.6
kväll	skymning	9.6
spel	roligt	6.2
hav	ocean	10.0
utföra	bli	0.8
tå	finger	7.8
kropp	mage	8.0
tidskrift	förening	1.2
papper	kartong	9.8
medföra	återställ	0.2
alkohol	whisky	10.0
vetenskap	psykologi	8.8
fru	sugrör	2.2
hall	korridor	9.0
skyldig	skamsen	5.6
aktie	liv	0.2
döda	hänga	7.4
bar	fängelse	0.2
mage	midja	8.8
låna	sälja	3.8
glas	magiker	2.0
dollar	förlust	1.8
häst	hingst	10.0
förorening	president	0.2
aktie	CD	0.2
produktion	besättning	0.6
bil	mätare	5.0
fotboll	basketboll	5.8
brud	prinsessa	2.2
spara	skydda	1.4
magiker	trollkarl	9.8
elegans	stil	9.0
mästerskap	turnering	9.0
psykologi	psykiatri	8.8
döda	förstöra	6.0
dag	gryning	8.6
mjölk	juice	6.4
ärkebiskop	biskop	9.8
alkohol	gin	10.0
medium	nyheter	4.6
gå	sälja	0.2
öl	dryck	10.0
psalm	sugrör	0.2
prejudikat	exempel	6.4
moln	dis	7.0
moln	töcken	6.2
gurka	potatis	4.4
aktivitet	rörelse	7.8
psykologi	klinik	7.0
biografi	fiktion	7.0
influensa	feber	9.0
ben	käke	6.2
tala	erkänna	4.0
helgen	vecka	9.8
katt	lejon	8.0
präst	munk	9.0
ledsen	rolig	5.0
acceptera	förneka	8.2
man	far	8.6
hård	enkel	2.0
sallad	vinäger	9.0
vitamin	järn	8.8
sol	himmel	9.4
bestämma	förutspå	1.4
verklighet	illusion	8.2
vinnare	närvaro	0.2
dollar	yen	10.0
våldsam	arg	8.2
nätverk	hårdvara	6.6
fred	försäkring	0.2
Mars	vatten	3.4
hysteri	förvirring	7.8
sida	paragraf	4.4
handväska	väska	9.6
vodka	brandy	7.6
tro	intryck	1.4
okunnighet	intelligens	6.6
färd	bil	6.2
bok	information	7.2
Gud	byte	0.2
lämna	vandra	0.8
acceptera	tro	1.4
anledning	kriterium	4.0
gata	blockera	2.6
väldig	flexibel	0.4
ballad	låt	10.0
ravin	landskap	7.6
ny	färsk	9.0
pakt	skick	0.2
ädelsten	juvel	9.6
ris	böna	4.2
sekreterare	senat	2.6
hård	tuff	8.6
slug	smart	9.0
tiger	djur	9.0
socker	honung	7.8
ärm	muskel	1.2
död	begravning	9.6
biff	kött	9.4
underbar	bra	8.6
kvinna	päls	2.2
hund	häst	5.8
blomma	violett	2.0
aggression	fientlighet	8.4
meter	tum	8.6
fråga	be	8.4
uppmärksamhet	intressera	4.6
utrymme	kemi	0.2
pengar	dollar	9.6
dollar	vinst	5.0
pengar	Bank	10.0
boll	handske	3.2
gränd	skål	0.2
ta	stjäla	8.2
film	filma	9.8
chef	borgmästare	6.4
far	förälder	10.0
grundläggande	nödvändig	9.0
dröjsmål	nyheter	0.2
vatten	is	10.0
slang	trädgård	4.6
boxning	runda	5.6
psykologi	hälsa	7.4
problem	flygplats	0.6
död	rad	0.2
tiger	katt	7.8
kusin	farbror	7.6
liv	död	10.0
märklig	vanlig	8.2
lyx	bil	6.0
fördom	erkännande	0.2
gammal	färsk	9.0
bror	munk	6.6
Gud	präst	9.6
förklara	meddela	6.4
flod	hav	7.6
ord	litteratur	7.4
försvinna	krympa	7.0
samla	spara	9.4
situation	isolering	0.8
alkohol	brandy	10.0
författare	läsare	9.6
musik	projekt	2.6
lunchtid	sträng	0.2
prejudikat	kognition	0.2
regering	kris	3.4
dryck	mor	0.8
ben	ärm	2.4
prinsessa	ö	0.2
påminna	sälja	0.2
storlek	magnitud	8.4
storlek	omfattning	8.8
linje	försäkring	0.2
trä	skog	8.8
hård	svår	5.0
hand	handled	8.6
förstå	veta	7.8
skiva	dator	2.0
avvisa	undvika	5.6
bror	själ	1.4
ögonbryn	öga	9.0
dum	dåraktig	8.8
fågel	höna	8.6
kort	bro	0.2
planet	astronom	9.6
blygsam	flexibel	0.2
läsa	förstå	5.6
dörr	kök	4.4
opera	prestanda	0.2
flytande	vatten	8.2
porträttera	besluta	0.2
kort	lång	8.2
lag	jurist	9.4
kind	tunga	6.4
kommunikation	språk	9.6
snabbt	hastig	9.6
försök	fred	2.2
pojke	partner	1.4
säd	senap	0.8
OPEC	olja	9.6
kyckling	biff	4.8
strand	skog	5.2
visdom	intelligens	8.8
strand	ö	7.0
flygtrafik	flyg	10.0
Arafat	skräck	0.8
skicka	närvara	0.2
diskutera	förklara	3.4
dollar	människor	3.2
handling	kurs	2.2
kropp	nerv	6.2
riktmärke	index	7.8
ordna	kräva	0.6
regn	dimma	6.6
ärm	nacke	1.2
färsk	bred	0.2
natur	miljö	9.2
pojke	soldat	2.2
smart	student	6.0
bröd	ost	9.4
öva	institution	0.2
feber	sjukdom	10.0
förstå	förlåta	4.2
förstörelse	konstruktion	3.6
ben	vrist	8.8
kvinna	sekreterare	3.0
konsument	energi	0.2
hjärta	kirurgi	7.4
låda	hiss	1.4
Jerusalem	Israel	10.0
kropp	axel	8.0
film	stjärna	7.0
väldig	enorm	9.8
aktie	ägg	0.2
lokalisera	hitta	9.8
lätt	tuff	4.4
territorium	kilometer	3.4
arkitektur	århundrade	1.4
horn	trumma	2.0
insekt	bi	9.6
lins	kamera	9.2
kung	råka	0.2
kommunikation	konversation	8.6
jämföra	analysera	7.8
lämna	förbli	0.8
polyester	bomull	6.2
tröja	jacka	7.6
säng	garderob	4.0
förklara	bevisa	5.6
bil	slang	1.8
tvål	opera	2.0
gå	komma	7.2
vinnare	kandidat	5.8
atmosfär	landskap	2.2
spel	runda	6.4
stor	bred	7.6
minska	krympa	9.0
erkänna	meddela	2.8
pojke	son	7.8
olycka	katastrof	8.2
offer	nödsituation	6.6
fågel	kalkon	9.0
snälla	åberopa	0.2
plan	flygplats	9.6
garderob	kläder	9.2
stuga	hydda	5.6
snälla	underhålla	0.2
avgift	betalning	8.8
enorm	dum	0.6
hummer	mat	5.8
dum	sällsynt	0.2
njure	organ	10.0
fysik	proton	9.6
Arafat	fred	6.4
uppgift	jobb	8.4
exotisk	sällsynt	8.2
överväga	tänka	8.6
glas	kristall-	8.8
ljud	skallra	8.0
acceptera	erkänna	4.0
dusch	översvämning	1.2
man	make	9.8
billig	snål	6.2
kurs	mage	0.2
utnämning	engagemang	1.2
färd	erövring	1.4
bad	ballong	0.2
vodka	gin	9.8
flaska	behållare	8.8
armé	legion	10.0
bok	ämne	6.2
hals	näsa	5.4
slag	erövring	7.6
ko	nötkreatur	10.0
människor	pistol	2.8
död	fånge	0.8
skapa	göra	8.0
brottslighet	stöld	9.2
student	professor	9.2
jaguar	katt	8.0
rytm	melodi	9.8
göra	sluta	2.8
bedriva	övertala	0.2
smärta	skada	8.2
polis	sheriff	9.4
opartiskhet	intressera	1.0
åsikt	val	3.2
mor	väktare	1.4
människor	fest	5.6
bekvämlighet	säkerhet	3.0
lärare	rabbin	3.4
film	teater	8.2
ord	sida	2.6
förstöra	konstruera	6.2
tänka	undersöka	3.8
arbetsgivare	anställd	10.0
erfarenhet	musik	2.4
skydd	hydda	2.6
dator	programvara	9.6
spel	seger	5.0
alkohol	kemi	6.2
jurist	bankman	3.6
kopp	artikel	0.6
lura	storlek	0.2
nyligen	ny	8.4
inspektera	kontrollera	9.4
kalv	tjur	9.4
träd	lönn	9.0
åsikt	aning	3.0
åsikt	idé	6.6
registrering	arrangemang	2.8
lastad	tung	7.2
konservburk	aluminium	7.6
råda	rekommendera	9.8
bära	medföra	2.0
gata	plats	5.8
kläder	knapp	5.4
flicka	hembiträde	3.0
vin	sprit	8.8
badrum	kök	7.0
sprit	århundrade	0.2
land	medborgare	8.6
pengar	drift	2.0
färd	resa	9.4
norr	västerut	8.6
boll	förklädnad	0.2
kyrka	kör	7.8
psykologi	sinne	7.4
psykologi	ångest	8.2
prejudikat	lag	7.0
bil	hiss	0.8
säng	sovrum	9.8
intelligens	insikt	4.6
departement	kultur	4.2
lärare	instruktör	8.6
doktor	sjuksköterska	9.2
resa	aktivitet	4.2
pojke	unge	7.0
anta	låtsas	3.2
tro	blomma	0.2
jobb	förvaltning	2.6
prejudikat	information	3.0
hatt	täcka	3.2
hatt	kappa	4.8
bil	automobil	10.0
uppdrag	uppgift	9.8
befolkning	människor	9.2
planet	stjärna	9.4
Mars	forskare	6.4
förstå	uppfylla	0.2
tak	golv	9.8
axel	huvud	6.8
dator	laboratorium	4.2
elastisk	flexibel	8.0
dörr	golv	5.6
måltid	midja	1.6
säng	möbel	9.2
brottslighet	överträdelse	9.6
omständighet	situation	9.2
hummer	vin	3.4
får	lamm	9.8
ek	lönn	8.4
dörr	dörröppning	10.0
monster	demon	9.4
finger	handflata	8.8
tro	åsikt	7.4
diskussion	gräl	7.0
modern	uråldrig	9.2
höna	kalkon	7.6
firande	ceremoni	8.8
kust	kulle	3.6
lägenhet	möbel	6.8
skaldjur	hav	9.2
fem	månad	1.0
pojke	kille	10.0
lätt	stor	2.6
stark	stolt	2.8
födelsedag	datum	9.6
tv	filma	7.8
gata	bil	8.2
vacker	underbar	7.8
förtvivlan	elände	8.8
frånvaro	närvaro	9.8
människor	ballong	0.8
tennis	racket	10.0
lyckas	misslyckas	9.8
hälsa	träffa	5.2
vinst	förlust	9.8
ge	förneka	0.2
kredit	kort	8.0
logik	aritmetisk	6.6
tiger	jaguar	7.6
kyckling	ris	6.8
flod	dal	6.0
döda	försvara	2.0
uppgift	kvinna	1.2
hård	lätt	3.8
odjur	djur	7.2
gräl	överenskommelse	4.4
miljö	ekologi	9.2
konkurrens	pris	4.2
syn	uppfattning	7.4
kust	skog	5.0
hud	öga	4.2
mat	frukt	7.8
bok	text	9.6
högskola	yrke	6.2
duo	par	9.8
mage	buk	9.8
natt	dag	10.0
Maradona	fotboll	9.8
ord	tidning	6.2
värld	klot	5.8
kopp	flytande	3.0
arrangemang	boende	2.8
klippa	svans	0.2
pengar	valuta	10.0
problem	utmaning	9.0
skål	svans	0.2
uppgift	motorväg	0.2
hård	tät	4.0
munk	orakel	3.8
maraton	sprinta	4.2
film	kritiker	5.6
fysik	kemi	8.0
märklig	konstig	9.8
sjö	träsk	7.2
bevis	faktum	7.2
kopp	entitet	2.4
hand	tumme	9.4
soffa	stol	6.6
stroke	sjukhus	8.4
berg	avsats	6.2
förtjäna	tjäna	3.4
glas	metall	4.2
planet	människor	5.0
Mexico	Brasilien	6.2
gammal	ny	9.8
säng	soffa	5.6
älskare	följeslagare	3.2
teater	historia	3.0
djur	person	2.2
ledsen	fruktansvärd	4.0
galen	glad	1.6
verklighet	fantasi	10.0
desorganisera	organisera	9.0
luft	helium	6.0
mage	sovrum	0.2
intelligens	skicklighet	6.6
ko	get	5.0
låda	bås	3.2
hål	överenskommelse	0.2
hus	lada	4.8
munk	slav	0.6
olaglig	omoralisk	6.0
sorg	skam	5.8
bok	uppsats	3.8
ord	ordbok	10.0
pengar	egendom	9.6
pengar	egenskap	2.4
fertilitet	ägg	9.2
spel	nederlag	4.2
frustration	ilska	9.2
ugn	spis	9.4
ståltråd	sladd	1.0
vän	mor	4.2
väldig	stor	9.8
planet	konstellation	5.0
utställning	memorabilia	3.2
tänka	rationalisera	8.2
kläder	täcka	4.2
kläder	kappa	8.0
förbli	behålla	2.4
låda	cigarr	5.8
analysera	utvärdera	10.0
ansträngning	svårighet	7.0
dryck	mun	9.4
bad	fru	0.2
datum	kalender	10.0
vänlig	generös	7.8
humör	känsla	9.2
kläder	låda	1.6
professor	gurka	0.2
utforska	upptäcka	8.2
sked	kopp	4.8
nerv	hjärna	8.8
kropp	bröst	8.6
trä	papper	8.4
pengar	diamant	5.0
lever	lunga	7.0
känsla	intuition	9.8
katt	sällskapsdjur	9.8
olycka	nödsituation	8.0
ta	äga	4.0
råtta	mus	8.2
underrätta	meddela	10.0
tråkig	rolig	9.8
vuxen	väktare	2.6
middag	kyckling	5.0
biskop	rabbin	5.8
tidning	information	7.8
smutsig	smal	0.2
gräs	blad	6.2
uppställning	avresa	0.6
människor	cent	0.6
motell	värdshus	7.2
medföra	klaga	0.2
samla	närvara	2.0
man	segrare	1.8
koda	symbol	4.2
lyssna	höra	9.8
avslag	bekännelse	0.2
inträffa	hända	10.0
folkmassa	knippe	0.8
alkohol	vin	10.0
ben	tänder	5.8
rabbin	minister	1.4
boll	kanon	1.8
dekoration	mod	0.2
sjuk	tokig	3.4
kapitel	val	0.2
arbetstagare	arbetsgivare	10.0
gata	gränd	9.0
mun	tand	9.0
fiol	instrument	10.0
förtroende	själv	1.6
energi	laboratorium	2.0
smörgås	lunch	6.4
bil	bro	2.4
sommar	torka	6.4
gå	skicka	0.2
mål	pil	5.4
kopp	ämne	0.6
författare	skapare	7.0
ta	leverera	1.6
utnämna	utse	9.8
säga	kontrollera	1.0
komma	medföra	0.6
dum	intelligent	9.4
utgång	dörröppning	8.8
kille	flicka	8.6
val	ven	1.2
komma	närvara	8.0
säng	stol	5.8
månad	hotell	0.6
frukost	bacon	5.2
plan	jet	9.6
telefon	bås	4.8
man	barn	4.4
broderskap	dörr	0.2
brev	paragraf	2.2
choklad	paj	4.4
citron-	te	3.2
doktor	personal	5.6
hundra	procent	7.2
lista	kategori	4.4
kläder	tyg	9.2
förälder	vuxen	9.2
olja	mink	0.2
golv	innertak	9.0
flingor	vete	5.2
närvaro	dörr	0.2
betraktare	serie	1.8
beskatta	inkomst	7.0
situation	slutsats	0.2
säng	spjälsäng	10.0
lem	ben	8.4
döda	strypa	9.0
fågel	hök	9.0
tak	innertak	10.0
middagstid	lunchtid	9.4
strand	rev	7.2
aktie	telefon	0.2
topp	sida	6.6
livsmedelsbutik	pengar	5.8
stjäla	köpa	3.0
olycklig	galen	2.6
olycklig	arg	3.2
kung	prinsessa	9.0
uppnå	utföra	4.4
dålig	fantastisk	5.0
inse	upptäcka	8.4
psalm	erövring	0.2
utdelning	betalning	7.2
får	nötkreatur	4.6
kung	drottning	10.0
tiger	fauna	7.8
härlig	glad	6.6
låtsas	verka	5.4
lätt	svår	9.4
klargöra	förklara	9.6
kopp	kon	0.6
artikel	tidskrift	9.8
upphöra	försvinna	7.4
rätt	rättvisa	8.4
bebis	dotter	7.2
stång	gardin	8.6
museum	teater	7.4
stor	tung	7.8
soffa	baseboll	0.2
lämna	gå	5.6
mobb	folkmassa	7.2
natt	kapitel	0.4
linne	tyg	8.0
guvernör	intervju	2.0
psykologi	doktor	7.0
moln	dimma	8.2
klocka	dörr	3.0
skicka	motta	7.6
ankomst	hotell	4.6
seger	triumf	10.0
diet	sallad	6.0
reflektion	bild	6.6
media	tjäna	0.2
dröjsmål	rasism	0.2
roligt	fotboll	3.6
betagen	dominera	0.2
århundrade	nation	0.4
armé	trupp	10.0
anlända	komma	9.6
bi	drottning	8.0
pengar	pärla	2.4
stol	bänk	7.2
dryck	öra	0.2
vatten	salt	4.4
bråka	bevisa	1.6
rättegång	dom	9.6
moln	väder	8.4
båt	ankare	9.2
barn	vuxen	10.0
cykel	sovrum	0.2
kille	hingst	3.6
uthållighet	band	1.2
bil	cykel	6.4
hitta	försvinna	5.0
födelsedag	år	9.2
start	år	2.6
trist	tråkig	10.0
bröd	smör	9.4
musik	melodi	10.0
lätt	flexibel	2.8
kemi	teori	5.4
krig	trupper	8.4
berättelse	ämne	3.2
äpple	juice	7.2
katt	kanin	5.4
ge	sätta	1.0
Harvard	Yale	9.8
formel	ekvation	9.4
folkmassa	parad	7.8
kärlek	sex	8.0
tiger	rovdjur	9.8
logga	timmer	0.2
läger	stuga	4.0
kopp	porslin	9.0
kopp	burk	2.8
undersöka	bedriva	2.2
upptäcka	härröra	1.8
planet	utrymme	0.6
firma	aktie	6.2
dörr	källare	4.4
broderskap	baseboll	1.0
anatomi	biologi	8.8
pengar	deposition	9.6
blygsam	skamsen	3.6
stridande	besegra	6.4
område	hörn	1.4
göra	konstruera	8.4
misslyckas	avskräcka	1.8
ge	stjäla	1.6
skola	klass	10.0
skola	betyg	10.0
ta	erhålla	1.8
man	farbror	7.8
förändra	attityd	3.2
fängelse	val	0.2
hund	räv	4.8
valuta	marknadsföra	1.8
äpple	solsken	0.8
fred	atmosfär	0.2
brottslighet	bedrägeri	9.4
natur	man	1.6
bli	verka	0.2
logga	bad	0.2
hem	stat	1.8
hem	tillstånd	0.8
skydda	försvara	8.2
storlek	framträdande	2.0
onödig	nödvändig	9.4
FBI	fingeravtryck	4.8
man	vakt	3.2
mat	förberedelse	3.8
säga	delta	1.2
utrymme	värld	1.8
investerare	intjäning	3.4
avgift	lön	3.8
galen	tokig	9.8
spel	lura	3.0
pakt	överenskommelse	9.8
krympa	växa	9.6
ravin	dal	7.0
ta	motta	8.6
whisky	gin	8.8
liv	lektion	0.8
storm	orkan	9.6
tv	radio	7.6
kompositör	författare	6.6
